 "p" , "count" ,  ,  ,
 "dc::format" , "2" ,  ,  ,
 "dc::title" , "1" ,  ,  ,
 "crm:P108i_was_produced_by" , "5" ,  ,  ,
 "crm:P12i_was_present_at" , "2" ,  ,  ,
 "crm:P138i_has_representation" , "6" ,  ,  ,
 "crm:P14_carried_out_by" , "26" ,  ,  ,
 "crm:P190_has_symbolic_content" , "65" ,  ,  ,
 "crm:P1_is_identified_by" , "41" ,  ,  ,
 "crm:P22_transferred_title_to" , "11" ,  ,  ,
 "crm:P23_transferred_title_from" , "11" ,  ,  ,
 "crm:P24_transferred_title_of" , "11" ,  ,  ,
 "crm:P28_custody_surrendered_by" , "2" ,  ,  ,
 "crm:P29_custody_received_by" , "6" ,  ,  ,
 "crm:P2_has_type" , "125" ,  ,  ,
 "crm:P30_transferred_custody_of" , "6" ,  ,  ,
 "crm:P32_used_general_technique" , "3" ,  ,  ,
 "crm:P3_has_note" , "6" ,  ,  ,
 "crm:P43_has_dimension" , "6" ,  ,  ,
 "crm:P45_consists_of" , "6" ,  ,  ,
 "crm:P49_has_former_or_current_keeper" , "9" ,  ,  ,
 "crm:P4_has_time-span" , "51" ,  ,  ,
 "crm:P52_has_current_owner" , "5" ,  ,  ,
 "crm:P65_shows_visual_item" , "10" ,  ,  ,
 "crm:P67i_is_referred_to_by" , "10" ,  ,  ,
 "crm:P72_has_language" , "26" ,  ,  ,
 "crm:P7_took_place_at" , "27" ,  ,  ,
 "crm:P82a_begin_of_the_begin" , "42" ,  ,  ,
 "crm:P82b_end_of_the_end" , "44" ,  ,  ,
 "crm:P9_consists_of" , "20" ,  ,  ,
 "serql::directSubClassOf" , "179" ,  ,  ,
 "rdf:first" , "51" ,  ,  ,
 "rdf:rest" , "51" ,  ,  ,
 "rdf:type" , "2,235" ,  ,  ,
 "rdfs:comment" , "464" ,  ,  ,
 "rdfs:domain" , "441" ,  ,  ,
 "rdfs:isDefinedBy" , "294" ,  ,  ,
 "rdfs:label" , "2,555" ,  ,  ,
 "rdfs:range" , "433" ,  ,  ,
 "rdfs:seeAlso" , "20" ,  ,  ,
 "rdfs:subClassOf" , "179" ,  ,  ,
 "rdfs:subPropertyOf" , "228" ,  ,  ,
 "owl::annotatedProperty" , "8" ,  ,  ,
 "owl::annotatedSource" , "8" ,  ,  ,
 "owl::annotatedTarget" , "8" ,  ,  ,
 "owl::cardinality" , "4" ,  ,  ,
 "owl::disjointWith" , "4" ,  ,  ,
 "owl::imports" , "9" ,  ,  ,
 "owl::inverseOf" , "330" ,  ,  ,
 "owl::maxCardinality" , "1" ,  ,  ,
 "owl::minCardinality" , "2" ,  ,  ,
 "owl::onProperty" , "7" ,  ,  ,
 "owl::propertyChainAxiom" , "13" ,  ,  ,
 "owl::unionOf" , "8" ,  ,  ,
 "owl::versionIRI" , "6" ,  ,  ,
 "owl::versionInfo" , "4" ,  ,  ,
 "http://www.w3.org/2003/g/data-view#namespaceTransformation" , "1" ,  ,  ,
 "prov:actedOnBehalfOf" , "3" ,  ,  ,
 "prov:aq" , "8" ,  ,  ,
 "prov:category" , "104" ,  ,  ,
 "prov:component" , "85" ,  ,  ,
 "prov:constraints" , "29" ,  ,  ,
 "prov:definition" , "63" ,  ,  ,
 "prov:dm" , "50" ,  ,  ,
 "prov:editorialNote" , "16" ,  ,  ,
 "prov:editorsDefinition" , "8" ,  ,  ,
 "prov:endedAtTime" , "2" ,  ,  ,
 "prov:inverse" , "50" ,  ,  ,
 "prov:n" , "44" ,  ,  ,
 "prov:qualifiedForm" , "37" ,  ,  ,
 "prov:role" , "2" ,  ,  ,
 "prov:sharesDefinitionWith" , "27" ,  ,  ,
 "prov:specializationOf" , "3" ,  ,  ,
 "prov:startedAtTime" , "2" ,  ,  ,
 "prov:type" , "59" ,  ,  ,
 "prov:unqualifiedForm" , "33" ,  ,  ,
 "prov:used" , "9" ,  ,  ,
 "prov:wasAssociatedWith" , "3" ,  ,  ,
 "prov:wasAttributedTo" , "26" ,  ,  ,
 "prov:wasDerivedFrom" , "39" ,  ,  ,
 "prov:wasGeneratedBy" , "2" ,  ,  ,
 "prov:wasRevisionOf" , "3" ,  ,  ,
